SubjectCode,Subject,Series,Component,MaxRawMark,A*,A,B,C,D,E
9706,Accounting,march-2025,12,30,,22,18,15,13.0,11.0
9706,Accounting,march-2025,22,90,,60,50,42,34.0,25.0
9706,Accounting,march-2025,32,75,,47,40,33,25.0,17.0
9706,Accounting,march-2025,42,50,,36,33,27,22.0,16.0
9479,Art & Design,march-2025,01,100,,75,65,55,45.0,35.0
9479,Art & Design,march-2025,02,100,,72,62,52,42.0,32.0
9479,Art & Design,march-2025,03,100,,75,65,55,45.0,35.0
9700,Biology,march-2025,12,40,,30,27,23,20.0,17.0
9700,Biology,march-2025,22,60,,38,35,30,24.0,18.0
9700,Biology,march-2025,33,40,,34,31,28,25.0,23.0
9700,Biology,march-2025,42,100,,69,61,53,45.0,37.0
9700,Biology,march-2025,52,30,,23,20,17,14.0,11.0
9609,Business,march-2025,12,40,,37,33,30,27.0,25.0
9609,Business,march-2025,22,60,,48,44,39,34.0,29.0
9609,Business,march-2025,32,60,,41,37,33,28.0,22.0
9609,Business,march-2025,42,40,,27,24,20,16.0,13.0
9980,Cambridge International Project,march-2025,01,80,,57,50,43,36.0,30.0
9701,Chemistry,march-2025,12,40,,29,27,22,17.0,13.0
9701,Chemistry,march-2025,22,60,,43,37,33,28.0,23.0
9701,Chemistry,march-2025,33,40,,25,22,19,16.0,13.0
9701,Chemistry,march-2025,42,100,,61,54,45,35.0,24.0
9701,Chemistry,march-2025,52,30,,23,18,15,12.0,10.0
9708,Economics,march-2025,12,30,,23,20,17,14.0,12.0
9708,Economics,march-2025,22,60,,29,26,22,19.0,15.0
9708,Economics,march-2025,32,30,,23,21,18,15.0,13.0
9708,Economics,march-2025,42,60,,35,30,26,22.0,17.0
8021,English General Paper AS Level,march-2025,12,30,,22,19,17,15.0,13.0
8021,English General Paper AS Level,march-2025,22,50,,35,32,28,24.0,20.0
9093,English Language,march-2025,12,50,,35,30,27,24.0,20.0
9093,English Language,march-2025,22,50,,34,29,25,21.0,18.0
9093,English Language,march-2025,32,50,,37,31,25,20.0,15.0
9093,English Language,march-2025,42,50,,37,32,27,21.0,15.0
9695,English Literature,march-2025,12,50,,36,32,28,24.0,20.0
9695,English Literature,march-2025,22,50,,35,31,26,22.0,18.0
9695,English Literature,march-2025,32,50,,39,33,29,24.0,20.0
9695,English Literature,march-2025,42,50,,40,34,29,25.0,19.0
9239,Global Perspectives & Research,march-2025,02,40,,29,26,23,21.0,19.0
9239,Global Perspectives & Research,march-2025,03,40,,27,25,23,21.0,19.0
9239,Global Perspectives & Research,march-2025,04,85,,57,52,46,40.0,34.0
9239,Global Perspectives & Research,march-2025,12,45,,33,31,28,25.0,22.0
9489,History,march-2025,12,40,,23,20,17,14.0,12.0
9489,History,march-2025,22,60,,37,32,27,23.0,18.0
9489,History,march-2025,32,40,,32,28,24,21.0,18.0
9489,History,march-2025,42,60,,44,39,35,30.0,24.0
9626,Information Technology,march-2025,02,90,,60,54,49,46.0,41.0
9626,Information Technology,march-2025,04,90,,71,66,57,45.0,35.0
9626,Information Technology,march-2025,12,70,,38,35,30,25.0,21.0
9626,Information Technology,march-2025,32,70,,43,38,32,27.0,22.0
9709,Mathematics,march-2025,12,75,,61,55,45,36.0,27.0
9709,Mathematics,march-2025,22,50,,40,36,29,22.0,15.0
9709,Mathematics,march-2025,32,75,,64,56,46,36.0,25.0
9709,Mathematics,march-2025,42,50,,44,38,32,26.0,20.0
9709,Mathematics,march-2025,52,50,,43,38,33,27.0,22.0
9709,Mathematics,march-2025,62,50,,45,39,32,26.0,20.0
9702,Physics,march-2025,12,40,,30,27,24,21.0,17.0
9702,Physics,march-2025,22,60,,45,40,34,27.0,20.0
9702,Physics,march-2025,33,40,,32,30,27,24.0,22.0
9702,Physics,march-2025,42,100,,65,56,46,35.0,23.0
9702,Physics,march-2025,52,30,,22,18,15,12.0,10.0
9990,Psychology,march-2025,12,60,,40,35,30,26.0,21.0
9990,Psychology,march-2025,22,60,,38,34,30,26.0,23.0
9990,Psychology,march-2025,32,60,,34,29,25,21.0,16.0
9990,Psychology,march-2025,42,60,,35,30,26,22.0,18.0
9699,Sociology,march-2025,12,60,,39,36,32,28.0,23.0
9699,Sociology,march-2025,22,60,,37,33,29,25.0,22.0
9699,Sociology,march-2025,32,50,,40,36,32,27.0,21.0
9699,Sociology,march-2025,42,70,,51,46,40,35.0,30.0
9706,Accounting,november-2024,11,30,,22,17,14,12.0,10.0
9706,Accounting,november-2024,12,30,,24,19,16,13.0,11.0
9706,Accounting,november-2024,13,30,,23,18,15,13.0,11.0
9706,Accounting,november-2024,21,90,,54,45,38,29.0,21.0
9706,Accounting,november-2024,22,90,,55,45,36,28.0,19.0
9706,Accounting,november-2024,23,90,,55,45,37,29.0,20.0
